Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Years_Operating,Outlet_Age_Category,Item_Category_Code,Item_Numeric_ID,Price_per_Weight_Ratio,High_Value_Item,Has_Zero_Visibility,Item_Visibility_Corrected,MRP_Price_Segment,Weight_Category,Store_Avg_Sales,Store_Sales_Std,Store_Product_Count,Store_Median_Sales,Store_Min_Sales,Store_Max_Sales,Store_Sales_Range,Market_Segment,Outlet_Item_Interaction,Size_Location_Interaction,Visibility_Type_Ratio,MRP_Type_Ratio
FDY07,11.8,0,0.0,6,45.5402,OUT049,1999,1,0,1,1516.0266,14,0,1,0,3.859338983050847,0,1,0.07330458675889538,0,2,2348.3546346236562,1513.2894635254877,930,1966.1074,111.8544,7646.0472,7534.1928,0,22,1,1.0000000000000002,0.315584635999029
FDA03,18.5,1,0.045463773,4,144.1102,OUT046,1997,2,0,1,2187.153,16,1,1,0,7.78974054054054,0,0,0.045463773,4,3,2277.8442668817206,1488.405630940313,930,1945.8004999999998,101.8674,9779.9362,9678.068800000001,2,20,3,0.6003378430211793,0.9788033933923124
FDX32,15.1,1,0.1000135,6,145.4786,OUT049,1999,1,0,1,1589.2646,14,0,1,0,9.634344370860928,0,0,0.1000135,4,0,2348.3546346236562,1513.2894635254877,930,1966.1074,111.8544,7646.0472,7534.1928,2,22,1,1.3643552800993528,1.0081381071371742
FDS46,17.6,1,0.047257328,13,119.6782,OUT046,1997,2,0,1,2145.2076,16,1,1,0,6.799897727272727,0,0,0.047257328,4,3,2277.8442668817206,1488.405630940313,930,1945.8004999999998,101.8674,9779.9362,9678.068800000001,2,29,3,0.66112294309507,0.8171374243908514
FDF32,16.35,0,0.0680243,6,196.4426,OUT013,1987,0,2,1,1977.426,26,1,1,0,12.014837920489295,1,0,0.0680243,2,0,2298.995255579399,1533.5316639442303,932,2050.664,73.238,10256.649,10183.411,1,22,0,0.92796785314045,1.3613086111985204
FDP49,9.0,1,0.069088961,2,56.3614,OUT046,1997,2,0,1,1547.3192,16,1,1,0,6.262377777777778,0,0,0.069088961,0,2,2277.8442668817206,1488.405630940313,930,1945.8004999999998,101.8674,9779.9362,9678.068800000001,0,18,3,0.7972738573851063,0.40845902532200234
NCB42,11.8,0,0.008596051,8,115.3492,OUT018,2009,1,2,2,1621.8888,4,2,2,0,9.77535593220339,0,0,0.008596051,1,2,1995.498739224138,1375.9328887730178,928,1655.1788,69.2432,6768.5228,6699.2796,2,40,2,0.14246373865425363,0.8665830132205622
FDP49,9.0,1,0.069196376,2,54.3614,OUT049,1999,1,0,1,718.3982,14,0,1,0,6.040155555555556,0,0,0.069196376,0,2,2348.3546346236562,1513.2894635254877,930,1966.1074,111.8544,7646.0472,7534.1928,0,18,1,0.7985134066582675,0.3939647428761439
DRI11,8.26,0,0.034237682,7,113.2834,OUT027,1985,1,2,3,2303.668,28,1,0,0,13.714697336561743,0,0,0.034237682,1,1,3694.0385576470585,2127.7600537615554,935,3364.9532,241.6854,13086.9648,12845.2794,2,55,2,0.4864837527428099,0.8251092499490732
FDU02,13.35,0,0.10249212,4,230.5352,OUT035,2004,2,1,1,2748.4224,9,0,1,0,17.268554307116105,1,0,0.10249212,2,0,2438.841866021505,1538.512533259296,930,2109.2544,113.8518,8479.6288,8365.777,1,20,4,1.3533830165716312,1.5658061404145955
FDN22,18.85,1,0.138190277,13,250.8724,OUT013,1987,0,2,1,3775.086,26,1,1,0,13.308880636604773,1,0,0.138190277,2,3,2298.995255579399,1533.5316639442303,932,2050.664,73.238,10256.649,10183.411,2,29,0,1.9332612846279198,1.7129036598708154
FDW12,8.315,1,0.035399923,0,144.5444,OUT027,1985,1,2,3,4064.0432,28,1,1,0,17.383571858087794,0,0,0.035399923,4,1,3694.0385576470585,2127.7600537615554,935,3364.9532,241.6854,13086.9648,12845.2794,2,48,2,0.48296552867484355,1.1340530292471722
NCB30,14.6,0,0.025698134,9,196.5084,OUT035,2004,2,1,1,1587.2672,9,0,2,0,13.459479452054795,1,0,0.025698134,2,0,2438.841866021505,1538.512533259296,930,2109.2544,113.8518,8479.6288,8365.777,1,25,4,0.4067071103266331,1.3211847729093111
FDC37,15.5,0,0.057556998,0,107.6938,OUT019,1985,2,0,0,214.3876,28,1,1,0,6.9479870967741935,0,0,0.057556998,1,0,340.3297227272727,249.97944948330021,528,265.3213,33.9558,1482.0708,1448.115,2,0,3,0.7852572438648218,0.8449340141931414
FDR28,13.85,1,0.025896485,5,165.021,OUT046,1997,2,0,1,4078.025,16,1,1,0,11.914873646209386,0,0,0.025896485,3,0,2277.8442668817206,1488.405630940313,930,1945.8004999999998,101.8674,9779.9362,9678.068800000001,2,21,3,0.360627500492369,1.209233985386925
NCD06,13.0,0,0.099887103,9,45.906,OUT017,2007,2,1,1,838.908,6,2,2,0,3.531230769230769,0,0,0.099887103,0,0,2340.67526349892,1550.7780254644128,926,2005.0567,143.8128,9664.7528,9520.94,0,25,4,1.5808461042357693,0.3086397741021495
FDV10,7.645,1,0.066693437,13,42.3112,OUT035,2004,2,1,1,1065.28,9,0,1,0,5.534493132766515,0,0,0.066693437,0,1,2438.841866021505,1538.512533259296,930,2109.2544,113.8518,8479.6288,8365.777,0,29,4,0.9330311979248093,0.28889192008975895
DRJ59,11.65,0,0.019356132,7,39.1164,OUT013,1987,0,2,1,308.9312,26,1,0,0,3.3576309012875534,0,0,0.019356132,0,2,2298.995255579399,1533.5316639442303,932,2050.664,73.238,10256.649,10183.411,0,23,0,0.2750315787717519,0.28490761633838607
FDE51,5.925,1,0.161466534,4,45.5086,OUT010,1998,2,2,0,178.4344,15,0,1,0,7.680776371308017,0,0,0.161466534,0,1,339.351661981982,271.0148547350674,555,250.3408,33.29,1775.6886,1742.3986,0,4,5,2.132125522042922,0.3090965948873389
FDC14,14.5,1,0.072221801,3,43.6454,OUT019,1985,2,0,0,125.8362,28,1,1,0,3.010027586206897,0,0,0.072221801,0,0,340.3297227272727,249.97944948330021,528,265.3213,33.9558,1482.0708,1448.115,0,3,3,1.0057184428368953,0.3148543161400305
FDV38,19.25,0,0.170348551,4,55.7956,OUT010,1998,2,2,0,163.7868,15,0,1,0,2.8984727272727273,0,0,0.170348551,0,3,339.351661981982,271.0148547350674,555,250.3408,33.29,1775.6886,1742.3986,0,4,5,2.249410352922608,0.37896639249935193
NCS17,18.6,0,0.080829372,8,96.4436,OUT018,2009,1,2,2,2741.7644,4,2,2,0,5.185139784946236,0,0,0.080829372,1,3,1995.498739224138,1375.9328887730178,928,1655.1788,69.2432,6768.5228,6699.2796,2,40,2,1.339598209479614,0.7245510631529184
FDP33,18.7,0,0.0,13,256.6672,OUT018,2009,1,2,2,3068.0064,4,2,1,0,13.72551871657754,1,1,0.0714803933119658,2,3,1995.498739224138,1375.9328887730178,928,1655.1788,69.2432,6768.5228,6699.2796,1,45,2,0.9999999999999998,1.7524693280280912
FDO23,17.85,0,0.0,1,93.1436,OUT045,2002,2,1,1,2174.5028,11,0,1,0,5.218128851540616,0,1,0.07362370954198473,1,3,2192.384797631862,1462.3996581632011,929,1834.9448,99.87,8994.958,8895.088,2,17,4,1.0,0.6587714792358442
DRH01,17.5,0,0.097904029,14,174.8738,OUT046,1997,2,0,1,2085.2856,16,1,0,0,9.992788571428571,0,0,0.097904029,3,3,2277.8442668817206,1488.405630940313,930,1945.8004999999998,101.8674,9779.9362,9678.068800000001,2,30,3,1.400510490348527,1.2914991728898084
NCX29,10.0,0,0.089291137,8,146.7102,OUT049,1999,1,0,1,3791.0652,14,0,2,0,14.671019999999999,0,0,0.089291137,4,2,2348.3546346236562,1513.2894635254877,930,1966.1074,111.8544,7646.0472,7534.1928,2,24,1,1.4798364046129038,1.102188547351792
FDV20,20.2,1,0.059511812,6,128.0678,OUT027,1985,1,2,3,2797.6916,28,1,1,0,6.339990099009902,0,0,0.059511812,4,3,3694.0385576470585,2127.7600537615554,935,3364.9532,241.6854,13086.9648,12845.2794,2,54,2,0.8118429505064818,0.8874846848761413
DRZ11,8.85,1,0.113123893,14,122.5388,OUT018,2009,1,2,2,1609.9044,4,2,0,0,13.84619209039548,0,0,0.113123893,4,2,1995.498739224138,1375.9328887730178,928,1655.1788,69.2432,6768.5228,6699.2796,2,46,2,1.6182296119352175,0.9049883907532728
FDX10,6.385,1,0.123111453,13,36.9874,OUT027,1985,1,2,3,388.1614,28,1,1,0,5.792858261550509,0,0,0.123111453,0,1,3694.0385576470585,2127.7600537615554,935,3364.9532,241.6854,13086.9648,12845.2794,0,61,2,1.7223107945517018,0.25254214026375876
FDB34,15.25,0,0.026480954,13,87.6198,OUT027,1985,1,2,3,2180.495,28,1,1,0,5.745560655737704,0,0,0.026480954,1,0,3694.0385576470585,2127.7600537615554,935,3364.9532,241.6854,13086.9648,12845.2794,2,61,2,0.37046458158711737,0.5982494530970679
FDU02,13.35,0,0.102511504,4,230.6352,OUT046,1997,2,0,1,3435.528,16,1,1,0,17.276044943820224,1,0,0.102511504,2,0,2277.8442668817206,1488.405630940313,930,1945.8004999999998,101.8674,9779.9362,9678.068800000001,1,20,3,1.353638977482511,1.5664853452130012
FDK43,9.8,0,0.02681843,10,126.002,OUT013,1987,0,2,1,2150.534,26,1,1,0,12.857346938775509,0,0,0.02681843,4,2,2298.995255579399,1533.5316639442303,932,2050.664,73.238,10256.649,10183.411,2,26,0,0.42074105651899746,0.8981465175099763
FDA46,13.6,0,0.117818348,13,192.9136,OUT049,1999,1,0,1,2527.3768,14,0,1,0,14.184823529411766,1,0,0.117818348,3,0,2348.3546346236562,1513.2894635254877,930,1966.1074,111.8544,7646.0472,7534.1928,2,29,1,1.6482610481142557,1.317173238183453
FDC02,21.35,0,0.069102831,3,259.9278,OUT018,2009,1,2,2,6768.5228,4,2,1,0,12.174604215456673,1,0,0.069102831,2,3,1995.498739224138,1375.9328887730178,928,1655.1788,69.2432,6768.5228,6699.2796,1,35,2,0.9622854958842847,1.875097712812407
FDL50,12.15,1,0.042277867,3,126.5046,OUT013,1987,0,2,1,373.5138,26,1,1,0,10.411901234567901,0,0,0.042277867,4,2,2298.995255579399,1533.5316639442303,932,2050.664,73.238,10256.649,10183.411,2,19,0,0.5887367799884324,0.9125937514965633
FDM39,6.42,0,0.089498926,4,178.1002,OUT010,1998,2,2,0,358.2004,15,0,1,0,27.74146417445483,0,0,0.089498926,3,1,339.351661981982,271.0148547350674,555,250.3408,33.29,1775.6886,1742.3986,2,4,5,1.1818111133792646,1.2096651043704716
NCP05,19.6,0,0.0,8,153.3024,OUT045,2002,2,1,1,2428.8384,11,0,2,0,7.821551020408163,0,1,0.06033851898876405,4,3,2192.384797631862,1462.3996581632011,929,1834.9448,99.87,8994.958,8895.088,2,24,4,1.0000000000000002,1.1517137156212953
FDV49,10.0,0,0.025879577,3,265.2226,OUT045,2002,2,1,1,5815.0972,11,0,1,0,26.52226,1,0,0.025879577,2,2,2192.384797631862,1462.3996581632011,929,1834.9448,99.87,8994.958,8895.088,1,19,4,0.3603838110007465,1.9132939633473598
FDL12,15.85,1,0.121632721,0,60.622,OUT046,1997,2,0,1,2576.646,16,1,1,0,3.8247318611987384,0,0,0.121632721,0,0,2277.8442668817206,1488.405630940313,930,1945.8004999999998,101.8674,9779.9362,9678.068800000001,0,16,3,1.659450259310585,0.4756224574526725
FDS02,10.195000000000002,1,0.255394896,4,196.8794,OUT019,1985,2,0,0,780.3176,28,1,1,0,19.31136831780284,1,0,0.255394896,2,2,340.3297227272727,249.97944948330021,528,265.3213,33.9558,1482.0708,1448.115,2,4,3,3.372426238870637,1.3372143318727088
NCL17,7.39,0,0.067779712,8,143.8812,OUT046,1997,2,0,1,3134.5864,16,1,2,0,19.469715832205686,0,0,0.067779712,4,1,2277.8442668817206,1488.405630940313,930,1945.8004999999998,101.8674,9779.9362,9678.068800000001,2,24,3,1.1233240910772375,1.080935141654995
FDM40,10.195,0,0.159803853,5,141.5154,OUT013,1987,0,2,1,850.8924,26,1,1,0,13.880863168219715,0,0,0.159803853,4,2,2298.995255579399,1533.5316639442303,932,2050.664,73.238,10256.649,10183.411,2,21,0,2.2253855716882027,1.0369906323172497
FDR13,9.895,1,0.028696932,3,117.0492,OUT013,1987,0,2,1,810.9444,26,1,1,0,11.82912582112178,0,0,0.028696932,1,2,2298.995255579399,1533.5316639442303,932,2050.664,73.238,10256.649,10183.411,2,19,0,0.39961664435973104,0.8443832756885642
FDA43,10.895,0,0.065041581,6,196.3794,OUT017,2007,2,1,1,3121.2704,6,2,1,0,18.02472693896283,1,0,0.065041581,2,2,2340.67526349892,1550.7780254644128,926,2005.0567,143.8128,9664.7528,9520.94,1,22,4,0.8872784620412218,1.360870647619196
NCP18,12.15,0,0.028760013,9,151.4708,OUT017,2007,2,1,1,4815.0656,6,2,2,0,12.466732510288065,0,0,0.028760013,4,2,2340.67526349892,1550.7780254644128,926,2005.0567,143.8128,9664.7528,9520.94,2,25,4,0.4551654131847239,1.0183835118518683
FDK21,7.905,0,0.010053105,13,249.0408,OUT018,2009,1,2,2,6258.52,4,2,1,0,31.50421252371916,1,0,0.010053105,2,1,1995.498739224138,1375.9328887730178,928,1655.1788,69.2432,6768.5228,6699.2796,1,45,2,0.14064143374428117,1.7003978826573019
NCX54,9.195,0,0.048157338,9,106.1622,OUT045,2002,2,1,1,2117.244,11,0,2,0,11.545644371941272,0,0,0.048157338,1,2,2192.384797631862,1462.3996581632011,929,1834.9448,99.87,8994.958,8895.088,2,25,4,0.7621538505092611,0.7137602367051631
DRK35,8.365,0,0.071958197,7,38.0506,OUT049,1999,1,0,1,796.9626,14,0,0,0,4.548786610878661,0,0,0.071958197,0,1,2348.3546346236562,1513.2894635254877,930,1966.1074,111.8544,7646.0472,7534.1928,0,23,1,1.0224551334160534,0.2771447716621518
FDY21,15.1,0,0.173481304,13,194.511,OUT046,1997,2,0,1,4910.275,16,1,1,0,12.881523178807948,1,0,0.173481304,3,0,2277.8442668817206,1488.405630940313,930,1945.8004999999998,101.8674,9779.9362,9678.068800000001,2,29,3,2.42697746839285,1.3280799473562344
FDI26,5.94,0,0.061082177,3,180.0344,OUT019,1985,2,0,0,892.172,28,1,1,0,30.308821548821548,0,0,0.061082177,3,1,340.3297227272727,249.97944948330021,528,265.3213,33.9558,1482.0708,1448.115,2,3,3,0.8505945723719575,1.2987533140647287
FDM20,10.0,0,0.0,6,246.9144,OUT018,2009,1,2,2,3185.1872,4,2,1,0,24.69144,1,1,0.07330458675889538,2,2,1995.498739224138,1375.9328887730178,928,1655.1788,69.2432,6768.5228,6699.2796,1,38,2,1.0000000000000002,1.7110682659917753
FDV27,7.97,1,0.040071131,10,87.3514,OUT045,2002,2,1,1,1062.6168,11,0,1,0,10.960025094102885,0,0,0.040071131,1,1,2192.384797631862,1462.3996581632011,929,1834.9448,99.87,8994.958,8895.088,2,26,4,0.6286561142039692,0.6226437335091581
FDF09,6.215,0,0.012090074,6,38.2848,OUT027,1985,1,2,3,484.7024,28,1,1,0,6.1600643604183425,0,0,0.012090074,0,1,3694.0385576470585,2127.7600537615554,935,3364.9532,241.6854,13086.9648,12845.2794,0,54,2,0.16492929753175223,0.2653061399004753
FDY40,15.5,1,0.15028599,5,51.0692,OUT019,1985,2,0,0,147.8076,28,1,1,0,3.294787096774194,0,0,0.15028599,0,0,340.3297227272727,249.97944948330021,528,265.3213,33.9558,1482.0708,1448.115,0,5,3,2.0928423657774853,0.374222748901788
FDY45,17.5,0,0.026015519,13,255.8356,OUT027,1985,1,2,3,2543.356,28,1,1,0,14.619177142857144,1,0,0.026015519,2,3,3694.0385576470585,2127.7600537615554,935,3364.9532,241.6854,13086.9648,12845.2794,1,61,2,0.3639532156245845,1.7467913392036987
FDC46,17.7,0,0.195068226,13,185.4266,OUT010,1998,2,2,0,184.4266,15,0,1,0,10.476079096045199,0,0,0.195068226,3,3,339.351661981982,271.0148547350674,555,250.3408,33.29,1775.6886,1742.3986,2,13,5,2.728975275061135,1.2660535865141074
FDH19,19.35,0,0.033082215,10,172.5738,OUT035,2004,2,1,1,4865.6664,9,0,1,0,8.918542635658914,0,0,0.033082215,3,3,2438.841866021505,1538.512533259296,930,2109.2544,113.8518,8479.6288,8365.777,2,26,4,0.5190104749267062,1.2301118830134692
FDZ03,13.65,1,0.078946455,4,186.024,OUT045,2002,2,1,1,1118.544,11,0,1,0,13.628131868131868,1,0,0.078946455,3,0,2192.384797631862,1462.3996581632011,929,1834.9448,99.87,8994.958,8895.088,2,20,4,1.0424683518648705,1.2634839341865567
DRH37,17.6,0,0.041700756,14,164.8526,OUT045,2002,2,1,1,2302.3364,11,0,0,0,9.366624999999999,0,0,0.041700756,3,3,2192.384797631862,1462.3996581632011,929,1834.9448,99.87,8994.958,8895.088,2,30,4,0.5965264844561634,1.2174893926290529
NCI17,8.645,0,0.143422643,8,95.841,OUT046,1997,2,0,1,2027.361,16,1,2,0,11.086292654713708,0,0,0.143422643,1,1,2277.8442668817206,1488.405630940313,930,1945.8004999999998,101.8674,9779.9362,9678.068800000001,2,24,3,2.3769665779617077,0.7200239149475844
FDJ58,15.6,1,0.105296072,13,170.1764,OUT046,1997,2,0,1,3435.528,16,1,1,0,10.90874358974359,0,0,0.105296072,3,0,2277.8442668817206,1488.405630940313,930,1945.8004999999998,101.8674,9779.9362,9678.068800000001,2,29,3,1.4730762817777254,1.1619284480223404
FDL12,15.85,1,0.121531501,0,59.222,OUT013,1987,0,2,1,599.22,26,1,1,0,3.7364037854889594,0,0,0.121531501,0,0,2298.995255579399,1533.5316639442303,932,2050.664,73.238,10256.649,10183.411,0,16,0,1.6580693023290554,0.46463846747487997
FDH35,18.25,0,0.0,15,164.7526,OUT045,2002,2,1,1,4604.6728,11,0,1,0,9.027539726027397,0,1,0.07299018356854839,3,3,2192.384797631862,1462.3996581632011,929,1834.9448,99.87,8994.958,8895.088,2,31,4,1.0,1.1001702200619492
FDG02,7.855,0,0.011324862,3,189.6188,OUT017,2007,2,1,1,2285.0256,6,2,1,0,24.13988542329726,1,0,0.011324862,3,1,2340.67526349892,1550.7780254644128,926,2005.0567,143.8128,9664.7528,9520.94,2,19,4,0.1577033862113564,1.3678943852340273
NCZ18,7.825,0,0.186357148,9,254.3698,OUT049,1999,1,0,1,5580.7356,14,0,2,0,32.50732268370607,1,0,0.186357148,2,1,2348.3546346236562,1513.2894635254877,930,1966.1074,111.8544,7646.0472,7534.1928,1,25,1,2.9493494411614747,1.7102042785345912
FDC29,8.39,1,0.024205661,5,114.0176,OUT046,1997,2,0,1,2290.352,16,1,1,0,13.589702026221692,0,0,0.024205661,1,1,2277.8442668817206,1488.405630940313,930,1945.8004999999998,101.8674,9779.9362,9678.068800000001,2,21,3,0.337081539220308,0.8354934029744837
FDQ10,12.85,0,0.033230816,13,172.3422,OUT049,1999,1,0,1,1207.0954,14,0,1,0,13.411844357976653,0,0,0.033230816,3,0,2348.3546346236562,1513.2894635254877,930,1966.1074,111.8544,7646.0472,7534.1928,2,29,1,0.46489414034095927,1.176716072115498
FDN48,13.35,0,0.113720344,0,89.9804,OUT019,1985,2,0,0,643.1628,28,1,1,0,6.740104868913858,0,0,0.113720344,1,0,340.3297227272727,249.97944948330021,528,265.3213,33.9558,1482.0708,1448.115,2,0,3,1.5515007210904124,0.7059598655698336
FDL04,19.0,0,0.112556507,5,104.9622,OUT017,2007,2,1,1,1587.933,6,2,1,0,5.524326315789473,0,0,0.112556507,1,3,2340.67526349892,1550.7780254644128,926,2005.0567,143.8128,9664.7528,9520.94,2,21,4,1.5674317106573281,0.7691376213995764
FDV25,5.905,0,0.0,3,222.5456,OUT045,2002,2,1,1,5305.0944,11,0,1,0,37.68765453005927,1,1,0.07181115302636719,2,1,2192.384797631862,1462.3996581632011,929,1834.9448,99.87,8994.958,8895.088,1,19,4,1.0,1.6054256049428526
FDD58,7.76,0,0.059352241,13,101.87,OUT046,1997,2,0,1,1697.79,16,1,1,0,13.12757731958763,0,0,0.059352241,1,1,2277.8442668817206,1488.405630940313,930,1945.8004999999998,101.8674,9779.9362,9678.068800000001,2,29,3,0.8303289650487197,0.6955468031997141
FDN04,11.8,1,0.014087057,5,180.3344,OUT046,1997,2,0,1,1427.4752,16,1,1,0,15.28257627118644,0,0,0.014087057,3,2,2277.8442668817206,1488.405630940313,930,1945.8004999999998,101.8674,9779.9362,9678.068800000001,2,21,3,0.19617257535930185,1.3214468777571333
FDV45,16.75,0,0.045230944,13,187.9556,OUT018,2009,1,2,2,4693.89,4,2,1,0,11.221229850746269,1,0,0.045230944,3,0,1995.498739224138,1375.9328887730178,928,1655.1788,69.2432,6768.5228,6699.2796,2,45,2,0.6327741343363361,1.2833210633501932
NCL18,18.85,0,0.293417759,9,194.6136,OUT019,1985,2,0,0,583.2408,28,1,2,0,10.324328912466843,1,0,0.293417759,2,3,340.3297227272727,249.97944948330021,528,265.3213,33.9558,1482.0708,1448.115,1,9,3,4.6437258394483605,1.308445465542763
FDR12,12.6,1,0.031382044,0,171.3764,OUT027,1985,1,2,3,3091.9752,28,1,1,0,13.601301587301586,0,0,0.031382044,3,2,3694.0385576470585,2127.7600537615554,935,3364.9532,241.6854,13086.9648,12845.2794,2,48,2,0.42814910844176696,1.3445690428786938
FDG20,15.5,1,0.12639886,6,177.0028,OUT017,2007,2,1,1,2479.4392,6,2,1,0,11.419535483870968,0,0,0.12639886,3,0,2340.67526349892,1550.7780254644128,926,2005.0567,143.8128,9664.7528,9520.94,2,22,4,1.7242967403354437,1.2265946176962097
FDZ55,6.055,0,0.025403898,6,160.992,OUT035,2004,2,1,1,2716.464,9,0,1,0,26.58827415359207,0,0,0.025403898,3,1,2438.841866021505,1538.512533259296,930,2109.2544,113.8518,8479.6288,8365.777,2,22,4,0.34655263910777434,1.1156429202936236
FDQ49,20.2,1,0.039057677,2,155.963,OUT027,1985,1,2,3,3285.723,28,1,1,0,7.720940594059406,0,0,0.039057677,4,3,3694.0385576470585,2127.7600537615554,935,3364.9532,241.6854,13086.9648,12845.2794,2,50,2,0.4507183832492653,1.1302858865517083
FDN33,6.305,1,0.123115764,13,95.6436,OUT046,1997,2,0,1,661.8052,16,1,1,0,15.169484536082475,0,0,0.123115764,1,1,2277.8442668817206,1488.405630940313,930,1945.8004999999998,101.8674,9779.9362,9678.068800000001,2,29,3,1.7223711047962353,0.6530342615736937
FDN27,20.85,0,0.039624006,10,117.2808,OUT049,1999,1,0,1,1523.3504,14,0,1,0,5.6249784172661865,0,0,0.039624006,1,3,2348.3546346236562,1513.2894635254877,930,1966.1074,111.8544,7646.0472,7534.1928,2,26,1,0.6216413916830738,0.8359815089505248
FDW20,20.75,0,0.040421193,6,122.173,OUT010,1998,2,2,0,369.519,15,0,1,0,5.887855421686747,0,0,0.040421193,4,3,339.351661981982,271.0148547350674,555,250.3408,33.29,1775.6886,1742.3986,2,6,5,0.5514142400522429,0.8466348793793038
DRG27,8.895,0,0.105274111,4,39.9138,OUT049,1999,1,0,1,690.4346,14,0,0,0,4.487217537942665,0,0,0.105274111,0,2,2348.3546346236562,1513.2894635254877,930,1966.1074,111.8544,7646.0472,7534.1928,0,20,1,1.3901185175219006,0.2710964448261267
DRI25,19.6,0,0.033970195,14,55.1614,OUT045,2002,2,1,1,1381.535,11,0,0,0,2.814357142857143,0,0,0.033970195,0,3,2192.384797631862,1462.3996581632011,929,1834.9448,99.87,8994.958,8895.088,0,30,4,0.4859413340046004,0.40738465382146377
FDA44,19.7,0,0.053212652,6,57.893,OUT035,2004,2,1,1,622.523,9,0,1,0,2.9387309644670054,0,0,0.053212652,0,3,2438.841866021505,1538.512533259296,930,2109.2544,113.8518,8479.6288,8365.777,0,22,4,0.7259116291729555,0.4011871123071876
NCR17,9.8,0,0.024378706,8,114.5492,OUT035,2004,2,1,1,1274.3412,9,0,2,0,11.68869387755102,0,0,0.024378706,1,2,2438.841866021505,1538.512533259296,930,2109.2544,113.8518,8479.6288,8365.777,2,24,4,0.404032223670251,0.8605728596124189
FDU04,7.93,0,0.009714595,5,120.0414,OUT019,1985,2,0,0,487.3656,28,1,1,0,15.137629255989912,0,0,0.009714595,4,1,340.3297227272727,249.97944948330021,528,265.3213,33.9558,1482.0708,1448.115,2,5,3,0.13528284294743728,0.8796343528001044
